TestName,Status,Duration,Timestamp,RetryCount,BrowserName,BrowserVersion
StaticPageTitle,Passed,2431,2025-05-09T19:21:56,0,MicrosoftEdge,136.0.3240.50
CheckFooterVisibility,Passed,220,2025-05-09T19:22:05,0,firefox,138.0.1
FeatureCardCount,Passed,158,2025-05-09T19:22:13,0,firefox,138.0.1
FormEmptyFieldError,Passed,541,2025-05-09T19:22:22,0,firefox,138.0.1
FormSubmission,Passed,1083,2025-05-09T19:22:31,1,firefox,138.0.1
HelpPageNavigation,Passed,317,2025-05-09T19:22:40,0,firefox,138.0.1
InputPersistence,Passed,294,2025-05-09T19:22:49,0,firefox,138.0.1
LoadCustomerCards,Passed,1454,2025-05-09T19:22:59,1,firefox,138.0.1
NavigationLinks,Passed,370,2025-05-09T19:23:07,0,firefox,138.0.1
SettingsDisplay,Passed,181,2025-05-09T19:23:16,0,firefox,138.0.1
StaticPageTitle,Passed,121,2025-05-09T19:23:24,0,firefox,138.0.1
CheckFooterVisibility,Passed,2283,2025-05-09T19:23:40,0,chrome,135.0.7049.115
FeatureCardCount,Passed,2530,2025-05-09T19:23:45,0,chrome,135.0.7049.115
FormEmptyFieldError,Passed,2322,2025-05-09T19:23:49,0,chrome,135.0.7049.115
FormSubmission,Failed,6015,2025-05-09T19:23:56,2,chrome,135.0.7049.115
HelpPageNavigation,Passed,2388,2025-05-09T19:24:00,0,chrome,135.0.7049.115
InputPersistence,Passed,2387,2025-05-09T19:24:04,0,chrome,135.0.7049.115
LoadCustomerCards,Passed,2834,2025-05-09T19:24:09,0,chrome,135.0.7049.115
NavigationLinks,Passed,2447,2025-05-09T19:24:13,0,chrome,135.0.7049.115
SettingsDisplay,Passed,2277,2025-05-09T19:24:17,1,chrome,135.0.7049.115
StaticPageTitle,Passed,2271,2025-05-09T19:24:21,0,chrome,135.0.7049.115
CheckFooterVisibility,Passed,2222,2025-05-09T19:24:25,0,MicrosoftEdge,136.0.3240.50
FeatureCardCount,Passed,2248,2025-05-09T19:24:30,0,MicrosoftEdge,136.0.3240.50
FormEmptyFieldError,Passed,2339,2025-05-09T19:24:35,0,MicrosoftEdge,136.0.3240.50
FormSubmission,Passed,2900,2025-05-09T19:24:41,1,MicrosoftEdge,136.0.3240.50
HelpPageNavigation,Passed,2544,2025-05-09T19:24:47,0,MicrosoftEdge,136.0.3240.50
InputPersistence,Passed,2446,2025-05-09T19:24:52,0,MicrosoftEdge,136.0.3240.50
LoadCustomerCards,Failed,3409,2025-05-09T19:24:59,2,MicrosoftEdge,136.0.3240.50
NavigationLinks,Passed,2419,2025-05-09T19:25:04,0,MicrosoftEdge,136.0.3240.50
SettingsDisplay,Passed,2236,2025-05-09T19:25:09,0,MicrosoftEdge,136.0.3240.50
StaticPageTitle,Passed,2203,2025-05-09T19:25:14,0,MicrosoftEdge,136.0.3240.50
CheckFooterVisibility,Passed,254,2025-05-09T19:25:23,0,firefox,138.0.1
FeatureCardCount,Passed,222,2025-05-09T19:25:32,0,firefox,138.0.1
FormEmptyFieldError,Passed,449,2025-05-09T19:25:40,0,firefox,138.0.1
FormSubmission,Passed,695,2025-05-09T19:25:49,0,firefox,138.0.1
HelpPageNavigation,Passed,317,2025-05-09T19:25:58,0,firefox,138.0.1
InputPersistence,Passed,400,2025-05-09T19:26:07,0,firefox,138.0.1
LoadCustomerCards,Passed,734,2025-05-09T19:26:16,0,firefox,138.0.1
NavigationLinks,Passed,377,2025-05-09T19:26:25,0,firefox,138.0.1
SettingsDisplay,Passed,239,2025-05-09T19:26:33,0,firefox,138.0.1
StaticPageTitle,Passed,245,2025-05-09T19:26:42,0,firefox,138.0.1
CheckFooterVisibility,Passed,2245,2025-05-09T19:26:57,0,chrome,135.0.7049.115
FeatureCardCount,Passed,2295,2025-05-09T19:27:01,0,chrome,135.0.7049.115
FormEmptyFieldError,Passed,2354,2025-05-09T19:27:05,0,chrome,135.0.7049.115
FormSubmission,Passed,2570,2025-05-09T19:27:10,0,chrome,135.0.7049.115
HelpPageNavigation,Passed,2431,2025-05-09T19:27:14,0,chrome,135.0.7049.115
InputPersistence,Passed,2463,2025-05-09T19:27:18,0,chrome,135.0.7049.115
LoadCustomerCards,Passed,2803,2025-05-09T19:27:22,0,chrome,135.0.7049.115
NavigationLinks,Passed,2439,2025-05-09T19:27:27,0,chrome,135.0.7049.115
SettingsDisplay,Passed,2257,2025-05-09T19:27:31,0,chrome,135.0.7049.115
StaticPageTitle,Passed,2245,2025-05-09T19:27:34,0,chrome,135.0.7049.115
CheckFooterVisibility,Passed,2261,2025-05-09T19:27:38,0,MicrosoftEdge,136.0.3240.50
FeatureCardCount,Passed,2235,2025-05-09T19:27:44,0,MicrosoftEdge,136.0.3240.50
FormEmptyFieldError,Passed,2351,2025-05-09T19:27:49,0,MicrosoftEdge,136.0.3240.50
FormSubmission,Passed,2481,2025-05-09T19:27:54,0,MicrosoftEdge,136.0.3240.50
HelpPageNavigation,Passed,2511,2025-05-09T19:28:00,0,MicrosoftEdge,136.0.3240.50
InputPersistence,Passed,2469,2025-05-09T19:28:05,0,MicrosoftEdge,136.0.3240.50
LoadCustomerCards,Passed,3473,2025-05-09T19:28:12,1,MicrosoftEdge,136.0.3240.50
NavigationLinks,Passed,2434,2025-05-09T19:28:17,0,MicrosoftEdge,136.0.3240.50
SettingsDisplay,Passed,2275,2025-05-09T19:28:22,0,MicrosoftEdge,136.0.3240.50
StaticPageTitle,Passed,2231,2025-05-09T19:28:27,0,MicrosoftEdge,136.0.3240.50
CheckFooterVisibility,Passed,171,2025-05-09T19:28:36,0,firefox,138.0.1
FeatureCardCount,Passed,222,2025-05-09T19:28:45,0,firefox,138.0.1
FormEmptyFieldError,Passed,521,2025-05-09T19:28:53,0,firefox,138.0.1
FormSubmission,Passed,544,2025-05-09T19:29:02,0,firefox,138.0.1
HelpPageNavigation,Passed,419,2025-05-09T19:29:11,0,firefox,138.0.1
InputPersistence,Passed,385,2025-05-09T19:29:20,0,firefox,138.0.1
LoadCustomerCards,Passed,837,2025-05-09T19:29:29,0,firefox,138.0.1
NavigationLinks,Passed,283,2025-05-09T19:29:37,0,firefox,138.0.1
SettingsDisplay,Passed,255,2025-05-09T19:29:46,0,firefox,138.0.1
StaticPageTitle,Passed,228,2025-05-09T19:29:54,0,firefox,138.0.1
CheckFooterVisibility,Passed,2254,2025-05-09T19:30:10,0,chrome,135.0.7049.115
FeatureCardCount,Passed,2314,2025-05-09T19:30:14,0,chrome,135.0.7049.115
FormEmptyFieldError,Passed,2397,2025-05-09T19:30:18,0,chrome,135.0.7049.115
FormSubmission,Passed,2497,2025-05-09T19:30:22,0,chrome,135.0.7049.115
HelpPageNavigation,Passed,2391,2025-05-09T19:30:26,0,chrome,135.0.7049.115
InputPersistence,Passed,2447,2025-05-09T19:30:30,0,chrome,135.0.7049.115
LoadCustomerCards,Passed,2828,2025-05-09T19:30:34,0,chrome,135.0.7049.115
NavigationLinks,Passed,2461,2025-05-09T19:30:39,0,chrome,135.0.7049.115
SettingsDisplay,Passed,2251,2025-05-09T19:30:42,0,chrome,135.0.7049.115
StaticPageTitle,Passed,2213,2025-05-09T19:30:46,0,chrome,135.0.7049.115
CheckFooterVisibility,Passed,2269,2025-05-09T19:30:50,0,MicrosoftEdge,136.0.3240.50
FeatureCardCount,Passed,2205,2025-05-09T19:30:56,0,MicrosoftEdge,136.0.3240.50
FormEmptyFieldError,Passed,2322,2025-05-09T19:31:01,0,MicrosoftEdge,136.0.3240.50
FormSubmission,Failed,2746,2025-05-09T19:31:07,2,MicrosoftEdge,136.0.3240.50
HelpPageNavigation,Passed,2377,2025-05-09T19:31:12,0,MicrosoftEdge,136.0.3240.50
InputPersistence,Passed,2487,2025-05-09T19:31:17,0,MicrosoftEdge,136.0.3240.50
LoadCustomerCards,Passed,2817,2025-05-09T19:31:23,0,MicrosoftEdge,136.0.3240.50
NavigationLinks,Passed,2419,2025-05-09T19:31:28,0,MicrosoftEdge,136.0.3240.50
SettingsDisplay,Passed,2389,2025-05-09T19:31:34,1,MicrosoftEdge,136.0.3240.50
StaticPageTitle,Passed,2204,2025-05-09T19:31:39,0,MicrosoftEdge,136.0.3240.50
CheckFooterVisibility,Passed,257,2025-05-09T19:31:48,0,firefox,138.0.1
FeatureCardCount,Passed,249,2025-05-09T19:31:56,0,firefox,138.0.1
FormEmptyFieldError,Passed,524,2025-05-09T19:32:05,0,firefox,138.0.1
FormSubmission,Passed,985,2025-05-09T19:32:14,1,firefox,138.0.1
HelpPageNavigation,Passed,462,2025-05-09T19:32:23,0,firefox,138.0.1
InputPersistence,Passed,350,2025-05-09T19:32:32,0,firefox,138.0.1
LoadCustomerCards,Passed,785,2025-05-09T19:32:41,0,firefox,138.0.1
NavigationLinks,Passed,348,2025-05-09T19:32:49,0,firefox,138.0.1
SettingsDisplay,Passed,186,2025-05-09T19:32:58,0,firefox,138.0.1
StaticPageTitle,Passed,129,2025-05-09T19:33:06,0,firefox,138.0.1
CheckFooterVisibility,Passed,2246,2025-05-09T19:33:22,0,chrome,135.0.7049.115
FeatureCardCount,Passed,2314,2025-05-09T19:33:26,0,chrome,135.0.7049.115
FormEmptyFieldError,Passed,2459,2025-05-09T19:33:30,0,chrome,135.0.7049.115
FormSubmission,Passed,2594,2025-05-09T19:33:34,0,chrome,135.0.7049.115
HelpPageNavigation,Passed,2472,2025-05-09T19:33:38,0,chrome,135.0.7049.115
InputPersistence,Passed,2815,2025-05-09T19:33:43,0,chrome,135.0.7049.115
LoadCustomerCards,Passed,2812,2025-05-09T19:33:47,0,chrome,135.0.7049.115
NavigationLinks,Passed,2401,2025-05-09T19:33:51,0,chrome,135.0.7049.115
SettingsDisplay,Passed,2237,2025-05-09T19:33:55,0,chrome,135.0.7049.115
StaticPageTitle,Passed,2223,2025-05-09T19:33:59,0,chrome,135.0.7049.115
CheckFooterVisibility,Passed,2227,2025-05-09T19:34:03,0,MicrosoftEdge,136.0.3240.50
FeatureCardCount,Passed,2234,2025-05-09T19:34:08,0,MicrosoftEdge,136.0.3240.50
FormEmptyFieldError,Passed,2401,2025-05-09T19:34:13,0,MicrosoftEdge,136.0.3240.50
FormSubmission,Failed,2912,2025-05-09T19:34:19,2,MicrosoftEdge,136.0.3240.50
HelpPageNavigation,Passed,2409,2025-05-09T19:34:23,0,MicrosoftEdge,136.0.3240.50
InputPersistence,Passed,2400,2025-05-09T19:34:29,0,MicrosoftEdge,136.0.3240.50
LoadCustomerCards,Passed,8680,2025-05-09T19:34:40,0,MicrosoftEdge,136.0.3240.50
NavigationLinks,Passed,2420,2025-05-09T19:34:46,0,MicrosoftEdge,136.0.3240.50
SettingsDisplay,Passed,2297,2025-05-09T19:34:51,1,MicrosoftEdge,136.0.3240.50
StaticPageTitle,Passed,2252,2025-05-09T19:34:56,0,MicrosoftEdge,136.0.3240.50
CheckFooterVisibility,Passed,268,2025-05-09T19:35:05,0,firefox,138.0.1
FeatureCardCount,Passed,164,2025-05-09T19:35:13,0,firefox,138.0.1
FormEmptyFieldError,Passed,555,2025-05-09T19:35:22,0,firefox,138.0.1
FormSubmission,Passed,610,2025-05-09T19:35:31,0,firefox,138.0.1
HelpPageNavigation,Passed,387,2025-05-09T19:35:40,0,firefox,138.0.1
InputPersistence,Passed,358,2025-05-09T19:35:48,0,firefox,138.0.1
LoadCustomerCards,Passed,781,2025-05-09T19:35:57,0,firefox,138.0.1
NavigationLinks,Passed,279,2025-05-09T19:36:06,0,firefox,138.0.1
SettingsDisplay,Passed,320,2025-05-09T19:36:14,0,firefox,138.0.1
StaticPageTitle,Passed,247,2025-05-09T19:36:23,0,firefox,138.0.1
CheckFooterVisibility,Passed,2230,2025-05-09T19:36:38,0,chrome,135.0.7049.115
FeatureCardCount,Passed,2234,2025-05-09T19:36:42,0,chrome,135.0.7049.115
FormEmptyFieldError,Passed,2422,2025-05-09T19:36:46,0,chrome,135.0.7049.115
FormSubmission,Passed,2546,2025-05-09T19:36:50,0,chrome,135.0.7049.115
HelpPageNavigation,Passed,2452,2025-05-09T19:36:55,0,chrome,135.0.7049.115
InputPersistence,Passed,2485,2025-05-09T19:36:59,0,chrome,135.0.7049.115
LoadCustomerCards,Failed,3444,2025-05-09T19:37:04,2,chrome,135.0.7049.115
NavigationLinks,Passed,2471,2025-05-09T19:37:08,0,chrome,135.0.7049.115
SettingsDisplay,Passed,2255,2025-05-09T19:37:12,0,chrome,135.0.7049.115
StaticPageTitle,Passed,2222,2025-05-09T19:37:16,0,chrome,135.0.7049.115
CheckFooterVisibility,Passed,2221,2025-05-09T19:37:20,0,MicrosoftEdge,136.0.3240.50
FeatureCardCount,Passed,2207,2025-05-09T19:37:25,0,MicrosoftEdge,136.0.3240.50
FormEmptyFieldError,Passed,2309,2025-05-09T19:37:30,0,MicrosoftEdge,136.0.3240.50
FormSubmission,Failed,2857,2025-05-09T19:37:36,2,MicrosoftEdge,136.0.3240.50
HelpPageNavigation,Passed,2385,2025-05-09T19:37:41,0,MicrosoftEdge,136.0.3240.50
InputPersistence,Passed,2481,2025-05-09T19:37:47,0,MicrosoftEdge,136.0.3240.50
LoadCustomerCards,Passed,10687,2025-05-09T19:38:00,0,MicrosoftEdge,136.0.3240.50
NavigationLinks,Passed,2420,2025-05-09T19:38:06,0,MicrosoftEdge,136.0.3240.50
SettingsDisplay,Passed,2213,2025-05-09T19:38:11,0,MicrosoftEdge,136.0.3240.50
StaticPageTitle,Passed,2213,2025-05-09T19:38:16,0,MicrosoftEdge,136.0.3240.50
CheckFooterVisibility,Passed,187,2025-05-09T19:38:25,0,firefox,138.0.1
FeatureCardCount,Passed,232,2025-05-09T19:38:33,0,firefox,138.0.1
FormEmptyFieldError,Passed,529,2025-05-09T19:38:42,0,firefox,138.0.1
FormSubmission,Passed,1070,2025-05-09T19:38:51,1,firefox,138.0.1
HelpPageNavigation,Passed,332,2025-05-09T19:39:00,0,firefox,138.0.1
InputPersistence,Passed,301,2025-05-09T19:39:09,0,firefox,138.0.1
LoadCustomerCards,Passed,715,2025-05-09T19:39:18,0,firefox,138.0.1
NavigationLinks,Passed,302,2025-05-09T19:39:27,0,firefox,138.0.1
SettingsDisplay,Passed,280,2025-05-09T19:39:35,0,firefox,138.0.1
StaticPageTitle,Passed,209,2025-05-09T19:39:44,0,firefox,138.0.1
CheckFooterVisibility,Passed,2233,2025-05-09T19:39:59,0,chrome,135.0.7049.115
FeatureCardCount,Passed,2369,2025-05-09T19:40:03,0,chrome,135.0.7049.115
FormEmptyFieldError,Passed,2376,2025-05-09T19:40:07,0,chrome,135.0.7049.115
FormSubmission,Passed,2782,2025-05-09T19:40:12,1,chrome,135.0.7049.115
HelpPageNavigation,Passed,2400,2025-05-09T19:40:16,0,chrome,135.0.7049.115
InputPersistence,Passed,2447,2025-05-09T19:40:20,0,chrome,135.0.7049.115
LoadCustomerCards,Passed,2884,2025-05-09T19:40:25,0,chrome,135.0.7049.115
NavigationLinks,Passed,2410,2025-05-09T19:40:29,0,chrome,135.0.7049.115
SettingsDisplay,Passed,2234,2025-05-09T19:40:33,0,chrome,135.0.7049.115
StaticPageTitle,Passed,2365,2025-05-09T19:40:37,0,chrome,135.0.7049.115
